delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,cycle_id,t_state,tgo_thickness_um,ysz_thickness_um,bondcoat_thickness_um,k_p_m2_s,growth_strain,growth_eigenstrain_coeff,arrhenius_growth,kp0_m2_s,Q_J_mol
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,min,23.879069890393726,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3416454859.401916,395735554.6178077,41510293.233432256,5689353070.126402,1119666001.0557578,81031103.42638607,1,max,23.879069890393726,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,min,33.75529525364304,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3406804458.9171352,436007893.5506514,41091488.36987255,5683575964.836993,1212556811.44937,80816524.86908846,2,max,33.75529525364304,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,min,41.33557712783172,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3401080933.8725896,431282754.54642403,40796312.657850556,5679943217.240254,1212761965.7490163,80669888.33236489,3,max,41.33557712783172,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,min,47.72672118762437,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3397062557.435802,439598054.5198597,40561181.931891896,5678045893.660649,1242926081.8889997,80553920.1052106,4,max,47.72672118762437,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,min,53.35775383345462,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3394122267.4777465,472392459.18856734,40362527.621294335,5676310396.518728,1333349420.9290757,80455698.33779013,5,max,53.35775383345462,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,min,58.448779910121736,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3391064621.853888,480705379.2773938,40190309.85724007,5675416465.536111,1362360324.8954353,80373135.26115637,6,max,58.448779910121736,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,min,63.13057778772628,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3388975053.74405,488145356.48848414,40037127.81389466,5674669905.275045,1388313235.747758,80300695.2017366,7,max,63.13057778772628,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,min,67.48836811364212,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3386671633.831445,494909846.327932,39898698.795152724,5673785687.519562,1411868688.5738826,80236082.16768563,8,max,67.48836811364212,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,min,71.58135098943562,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3385075628.9651403,501127714.3322502,39772099.54274729,5672897830.484652,1433480912.0298262,80177727.7448227,9,max,71.58135098943562,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,min,75.45263274600221,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
875.0,3383162701.180878,506889919.11307925,39655234.66740434,5672742400.532047,1453478690.048297,80124507.3450117,10,max,75.45263274600221,200.0,150.0,3.162277660168379e-13,0.0,0.001,False,,
