delta_t,ysz_tgo_max_sigma_yy,ysz_tgo_max_tau_xy,ysz_tgo_mean_sed,tgo_bc_max_sigma_yy,tgo_bc_max_tau_xy,tgo_bc_mean_sed,tgo_thickness_um
990.7485051147421,5836774145.644138,752124419.1699494,81742601.7656858,5824897946.782484,836479971.5661975,81826679.24787343,1.8971568335896152
617.0587965812036,3637996936.0810966,439477035.5508422,31629468.805286873,3634302907.6092024,521624049.5649411,31677405.236777987,3.323473874429616
847.2473173277797,4974475945.266477,651090400.1051242,59913493.59817586,4968503991.201856,648921500.7344711,59936270.67978248,0.7466876696717426
781.9143599449277,4610184629.277259,562312804.2290488,50802370.4273693,4604748792.692964,659120705.3486929,50875891.75769742,3.1550581415001844
1030.7977047151605,6068837330.576303,675108097.2002019,88107871.16191368,6070489717.069141,936832463.0699965,88296935.3910055,4.310645677494195
704.3976475271257,4150853930.9844627,488685220.8501615,41195954.909944415,4147391366.76048,630979188.9387993,41270835.53982219,3.5678124611855817
773.0836249506764,4530791026.400409,590662990.2722352,49917435.76058385,4526998678.621551,581440909.6410575,49929325.420108855,0.4078705833771783
1023.1851814631292,6029912802.450607,701520738.0712073,86877103.81807485,6028001556.445947,871579777.4665709,87029355.84574467,3.919208442030882
930.3440740843773,5458770838.77072,713393863.2625723,72261461.11424184,5453092682.065363,705317444.1677747,72284267.02350421,0.615380464729101
679.6092952674668,4001920941.605715,443847368.05212086,38285531.474629566,4004504426.8754725,581797638.5465609,38362410.27347745,4.581815001178286
655.5089968193153,3857602773.1038966,504241712.14848214,35819261.49581257,3850247917.0775595,536485634.83125496,35846458.28759431,1.3676532110824966
1087.9541259213179,6404201884.035869,835361147.1132753,98649100.65481888,6391679163.709948,896483415.979639,98729319.17767368,1.4718650949529897
968.5366763058678,5695101789.090752,745537231.7618043,78238974.7146723,5686320581.532854,760168344.1792545,78282406.33069503,1.1112904527640315
862.8242613807383,5085733483.374594,641306011.3799267,61936920.94791821,5076097187.579643,745886567.1449214,62016387.106706314,2.4170975359111084
1069.9781282155022,6294824298.979916,689368626.0329235,94861600.46539775,6301524383.57797,978717920.0388048,95083507.67309834,4.760763466230395
920.6060399024353,5424058748.65602,620930978.9302586,70303034.94597884,5424067560.759315,785872024.884289,70432626.63731843,4.152395008262379
745.3023626663944,4393026016.105012,559234335.7438521,46229628.9915441,4385345382.6255,615047614.8641976,46279195.07265007,2.259977218436254
626.3455254700556,3693021111.4056664,457083716.2217626,32613791.081096753,3687816775.4890556,525193433.9544928,32657324.924380008,2.8816715926820966
820.4938640398251,4836704971.075788,598400576.652513,55971694.35032589,4828681863.367517,718913661.6405871,56053257.628778264,2.7835912750648757
881.1241150267199,5190027575.188192,671631590.9277896,64673055.71673646,5180649974.2606735,714480443.4022712,64728394.626108125,1.7664901001672715
