case_id,delta_t,k_p_m2_s,initial_tgo_thickness_um,cycle_dt_s,t_min_C,t_max_C,n_cycles,roughness_amplitude_um,roughness_wavelength_um,growth_eigenstrain_coeff,R_final,R_max,slope_early,slope_late,n_star,threshold_ratio,threshold_value,final_tgo_thickness,max_sigma_yy_over_life,max_tau_xy_over_life
1,990.7485051147421,3.266298014417758e-12,1.8971568335896152,448.14671250772847,25.0,1015.7485051147421,10,0.43663647439402586,303.4616423371541,0.001,106100385.50110386,129817753.73609155,-31783270.179529823,-22736187.554171085,1,0.8,103854202.98887324,185.0383594362968,11259201019.985966,7555651671.541857
2,617.0587965812036,6.718200245056906e-12,3.323473874429616,715.7828349293785,25.0,642.0587965812036,10,5.130900511045216,167.41441019443403,0.001,42895095.92124913,69435452.2637199,-20184088.987846337,-9076603.05294858,1,0.8,55548361.810975924,297.3347795318204,8943069466.61817,7670291289.05678
3,847.2473173277797,5.24894772368601e-12,0.7466876696717426,1096.1205751791936,25.0,872.2473173277797,10,9.806320835909077,76.55272130624127,0.001,122387481.49626052,575571573.2672067,-233497991.3000043,-21635089.79823513,1,0.8,460457258.61376536,298.3773447571287,29419561346.462276,35232333059.17106
4,781.9143599449277,2.7500778808384584e-12,3.1550581415001844,530.3134510604962,25.0,806.9143599449277,10,2.9292987107796775,145.14697520200102,0.001,65122763.19721007,73750788.6945252,-17029329.758570943,-13995227.064577505,1,0.8,59000630.95562016,176.33619762723924,7711926242.326879,4418337016.430209
5,1030.7977047151605,6.375567614106169e-12,4.310645677494195,351.07075442635437,25.0,1055.7977047151605,10,2.2144031266760096,230.7725790858196,0.001,112137718.21710868,126084474.2349229,-28900143.105705768,-24108149.6512384,1,0.8,100867579.38793832,246.2818317956052,9313551747.245192,4594737575.214006
6,704.3976475271257,3.710591194506062e-12,3.5678124611855817,1011.2102911883196,25.0,729.3976475271257,10,4.3202549684162905,487.8665223366267,0.001,53695359.1633808,68564589.20859385,-17278164.338953912,-11491476.194016576,1,0.8,54851671.36687508,244.53661581768787,8203028245.648719,5932568468.7131815
7,773.0836249506764,1.3204674218779738e-12,0.4078705833771783,1182.6696566208702,25.0,798.0836249506764,10,3.680176849695904,475.1470412737722,0.001,88656299.92881437,287883489.36297846,-109139944.20179772,-16899158.770652313,1,0.8,230306791.4903828,153.42665483479496,25391118545.72184,30173231855.107395
8,1023.1851814631292,7.439407186898973e-13,3.919208442030882,485.76789494491106,25.0,1048.185181463129,10,7.621872552285204,132.34186283919564,0.001,109945582.17520866,112553345.41591646,-24250588.54499342,-23647881.804754894,1,0.8,90042676.33273317,89.96015604571518,7210280541.804417,1432094663.9612212
9,930.3440740843773,8.540249197114189e-12,0.615380464729101,430.4837340195637,25.0,955.3440740843773,10,6.074526326177682,390.7552414408557,0.001,157922960.29729354,817596720.0715965,-338133408.6329856,-27082362.435765058,1,0.8,654077376.0572772,296.6584863342265,36560706872.53919,45720238177.52884
10,679.6092952674668,9.652528367842836e-12,4.581815001178286,618.9799131488478,25.0,704.6092952674668,10,8.11491071892246,344.30872361877056,0.001,50622130.58435739,73470365.12161565,-20090396.598205414,-10787282.266120946,1,0.8,58776292.09729252,343.0501055876583,8494826887.373283,6604743199.113403
11,655.5089968193153,9.245749024810627e-12,1.3676532110824966,342.56354749241694,25.0,680.5089968193153,10,1.0151473308061636,450.15515314923255,0.001,59746751.052682936,194304423.50324968,-73046592.43772253,-11575429.075796004,1,0.8,155443538.80259976,295.20997692457206,16920603420.160069,18849387488.85325
12,1087.9541259213179,8.379861245587906e-12,1.4718650949529897,947.7223568101977,25.0,1112.9541259213179,10,4.96553967480588,274.5863832693117,0.001,146621072.5577824,371391442.9704688,-130528498.73469844,-29913728.349766403,1,0.8,297113154.3763751,360.137685273973,21690892727.308395,22486251884.97121
13,968.5366763058678,4.540640161301225e-12,1.1112904527640315,604.1752534688331,25.0,993.5366763058678,10,7.146590641510531,384.2311033449574,0.001,111974154.64250818,221624563.25932652,-71444712.03850508,-23205970.516349524,1,0.8,177299650.6074612,233.8343433671091,18453222478.607265,18564768280.149216
14,862.8242613807383,2.1106526315979477e-14,2.4170975359111084,694.3418284622852,25.0,887.8242613807383,10,8.685325582583783,414.0329242489063,0.001,79009895.40636922,79212278.50940731,-16518699.711362788,-16951229.46268296,1,0.8,63369822.80752585,16.704279665439923,6034655404.947395,979036408.3957896
15,1069.9781282155022,1.981083653794866e-12,4.760763466230395,1145.1895084691957,25.0,1094.9781282155022,10,0.5895633787439007,275.1911637415675,0.001,119961667.62398924,127230956.1024147,-27957170.124339964,-25814944.011407163,1,0.8,101784764.88193177,186.00088426888627,8457823204.548074,3048604385.769466
16,920.6060399024353,7.505442071642076e-12,4.152395008262379,905.6003667084451,25.0,945.6060399024353,10,9.164277543740575,223.81009101869537,0.001,91272981.43497086,120283623.98564088,-30964622.67895059,-19530873.853633415,1,0.8,96226899.18851271,336.1832918781622,10517223432.842785,7698215522.454899
17,745.3023626663944,5.809267341736716e-12,2.259977218436254,801.4357967569531,25.0,770.3023626663944,10,5.844049206790924,206.48522882666785,0.001,63941941.83382706,113559180.87328872,-34671050.558986396,-13422531.322851324,1,0.8,90847344.69863099,285.33885041023996,11910669880.87736,10826415924.424835
18,626.3455254700556,2.225445377042661e-12,2.8816715926820966,869.3701408705099,25.0,651.3455254700556,10,1.779624838566833,340.6397934095286,0.001,42441032.58663768,51676485.72747404,-12596740.535847176,-9093442.78973466,1,0.8,41341188.58197924,180.8544550261786,7112006299.708714,4755190948.065292
19,820.4938640398251,4.295108461566198e-12,2.7835912750648757,768.8452705465314,25.0,845.4938640398251,10,6.870077486710539,106.33822446182519,0.001,73290210.49622644,96682915.4985664,-24922293.513644308,-15664767.088756932,1,0.8,77346332.39885312,242.4894583716566,10038968260.024933,7601458475.954012
20,881.1241150267199,7.154249665294831e-12,1.7664901001672715,1040.6556799686202,25.0,906.1241150267199,10,3.0804156877644977,56.12100694612674,0.001,95210027.17087913,231027301.60827172,-80176499.78768645,-19563691.40675564,1,0.8,184821841.2866174,342.6072444944351,17897053637.210007,18956641272.839157
